"","iso3","province.state","lat","long","x01.22.20","x01.23.20","x01.24.20","x01.25.20","x01.26.20","x01.27.20","x01.28.20","x01.29.20","x01.30.20","x01.31.20","x02.01.20","x02.02.20","x02.03.20","x02.04.20","x02.05.20","x02.06.20","x02.07.20","x02.08.20","x02.09.20","x02.10.20","x02.11.20","x02.12.20","x02.13.20","x02.14.20","x02.15.20","x02.16.20","x02.17.20","x02.18.20","x02.19.20","x02.20.20","x02.21.20","x02.22.20","x02.23.20","x02.24.20","x02.25.20","x02.26.20","x02.27.20","x02.28.20","x02.29.20","x03.01.20","x03.02.20","x03.03.20","x03.04.20","x03.05.20","x03.06.20","x03.07.20","x03.08.20","x03.09.20","x03.10.20","x03.11.20","x03.12.20","x03.13.20","x03.14.20","x03.15.20","x03.16.20","x03.17.20","x03.18.20","x03.19.20","x03.20.20","x03.21.20","x03.22.20","x03.23.20","x03.24.20","x03.25.20","x03.26.20","x03.27.20","x03.28.20","x03.29.20","x03.30.20","x03.31.20","x04.01.20","x04.02.20","x04.03.20","x04.04.20","x04.05.20","x04.06.20","x04.07.20","x04.08.20","x04.09.20","x04.10.20","x04.11.20","x04.12.20","x04.13.20","x04.14.20","x04.15.20","x04.16.20","x04.17.20","x04.18.20","x04.19.20","x04.20.20","logcases","density","cdensity"
"39","BMU","Bermuda",32.3078,-64.7505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,6,6,7,15,17,17,22,27,32,32,35,35,35,37,39,39,39,48,48,48,57,57,57,81,81,83,83,86,86,4.46590811865458,1307.52,"high pop density"
"40","BOL","Bolivia",-16.2902,-63.5887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,10,10,11,11,12,12,15,19,24,27,29,32,43,61,74,81,97,107,115,123,132,139,157,183,194,210,264,268,275,300,330,354,397,441,465,493,520,564,6.33682573114644,10.050661866519,"low pop density"
"41","BRA","Brazil",-14.235,-51.9253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,4,4,13,13,20,25,31,38,52,151,151,162,200,321,372,621,793,1021,1546,1924,2247,2554,2985,3417,3904,4256,4579,5717,6836,8044,9056,10360,11130,12161,14034,16170,18092,19638,20727,22192,23430,25262,28320,30425,33682,36658,38654,40743,10.6150638685644,24.844387028693,"low pop density"
"42","BRB","Barbados",13.1939,-59.5432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5,6,14,17,18,18,18,24,26,33,33,34,34,46,51,52,56,60,63,63,66,67,68,71,72,72,73,75,75,75,75,75,4.33073334028633,662.781395348837,"high pop density"
"43","BRN","Brunei",4.5353,114.7277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,11,37,40,50,54,56,68,75,78,83,88,91,104,109,114,115,120,126,127,129,131,133,134,135,135,135,135,135,135,136,136,136,136,136,136,136,136,137,138,138,4.93447393313069,80.3028462998102,"mid pop density"
"44","BTN","Bhutan",27.5142,90.4336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.79175946922805,20.9293753443345,"low pop density"
"45","BWA","Botswana",-22.3285,24.6849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,6,6,6,6,13,13,13,13,13,13,13,15,15,15,20,20,3.04452243772342,3.97060328551515,"low pop density"
"46","CAF","Central African Republic",6.6111,20.9394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,11,11,12,12,12,12,12,12,2.56494935746154,7.37523034447334,"low pop density"
"47","CAN","Manitoba",53.7609,-98.8139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,7,8,15,17,17,18,20,20,21,35,36,39,64,72,96,103,127,167,182,182,203,203,217,217,221,230,243,242,246,246,246,250,250,253,254,254,5.54126354515843,3.98796548307529,"low pop density"
"48","CAN","New Brunswick",46.5653,-66.4619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,6,8,11,11,11,17,17,17,18,18,33,45,51,66,68,70,81,91,91,91,98,103,105,105,108,112,112,114,116,116,117,117,117,117,118,118,4.77912349311153,3.98796548307529,"low pop density"
